Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
6.017022500E-2,2.551347256E0,9.229415894E0,1.555633783E0
7.005730900E-2,2.587239504E0,9.255737305E0,1.380957723E0
7.994439200E-2,2.500798702E0,9.468997002E0,1.225125194E0
8.983147500E-2,2.362015009E0,9.445069313E0,1.584347725E0
9.971855900E-2,2.292623281E0,9.267701149E0,1.414457321E0
1.096056940E-1,2.271087885E0,9.186345100E0,1.225125194E0
1.194927770E-1,2.285444736E0,9.145667076E0,1.318445325E0
1.293798610E-1,2.462513685E0,9.045168877E0,1.299302697E0
1.392669440E-1,2.754737139E0,8.973383904E0,1.222732425E0
1.491540270E-1,3.094517946E0,9.081061363E0,1.060020447E0
1.590411630E-1,2.986840963E0,9.229415894E0,9.092726111E-1
1.689282460E-1,2.654238462E0,9.270093918E0,1.098305583E0
1.788153290E-1,2.316551447E0,9.171988487E0,1.265803218E0
1.887024130E-1,2.424228430E0,9.174381256E0,1.272981644E0
1.985894960E-1,2.635095835E0,9.262915611E0,1.129412293E0
2.084766320E-1,2.747558594E0,9.299106598E0,1.074377418E0
2.183637150E-1,2.661417007E0,9.126524925E0,1.007378340E0
2.282507980E-1,2.702095032E0,8.997312546E0,1.016949654E0
2.381378820E-1,2.781058073E0,9.054739952E0,9.954141974E-1
2.480249650E-1,2.783450842E0,9.150452614E0,1.088734269E0
2.579120480E-1,2.704487801E0,9.258130074E0,1.234696507E0
2.677991840E-1,2.340479612E0,9.296713829E0,1.287338614E0
2.776862670E-1,2.074876308E0,9.231808662E0,1.361815214E0
2.875733500E-1,2.316551447E0,9.342177391E0,1.366600871E0
2.974604340E-1,2.572882652E0,9.490532875E0,1.253839016E0
3.073475170E-1,2.907877684E0,9.466604233E0,1.136590719E0
3.172346000E-1,3.302992582E0,9.270093918E0,9.284151793E-1
3.271217360E-1,3.520739317E0,9.045168877E0,6.816553473E-1
3.370088190E-1,3.719642878E0,9.109774590E0,5.763711333E-1
3.468959020E-1,3.642773390E0,9.390034676E0,5.715855360E-1
3.567830380E-1,3.116352320E0,9.500103951E0,4.016951025E-1
3.666701210E-1,2.800200701E0,9.373284340E0,6.314060688E-1
3.765572040E-1,2.900699139E0,9.272486687E0,7.968099117E-1
3.864442880E-1,2.982055187E0,9.179166794E0,9.212366939E-1
3.963313710E-1,2.929413080E0,9.128917694E0,9.978070259E-1
4.062185070E-1,2.709273338E0,9.234201431E0,1.014556766E0
4.161055900E-1,2.362015009E0,9.052347183E0,1.237089276E0
4.259926730E-1,2.299801588E0,8.987740517E0,1.304088354E0
4.358797570E-1,2.414657116E0,9.155238152E0,1.093519926E0
4.457668400E-1,2.362015009E0,9.231808662E0,1.256231904E0
4.556539750E-1,2.388336182E0,9.157630920E0,1.337587833E0
4.655410590E-1,2.381157637E0,9.128917694E0,1.016949654E0
4.754281420E-1,1.952543259E0,9.128917694E0,1.074377418E0
4.853152250E-1,1.392323732E0,9.236594200E0,9.140582681E-1
4.952023610E-1,1.392323732E0,9.452247620E0,1.170090318E0
5.050894440E-1,1.641476393E0,9.488140106E0,7.319046259E-1
5.149765270E-1,1.935793519E0,9.320642471E0,8.350951076E-1
5.248636110E-1,2.168196440E0,9.176774025E0,6.146563292E-1
5.347507460E-1,2.213660002E0,9.145667076E0,4.064807594E-1
5.446378290E-1,2.158625126E0,9.162417412E0,3.705884218E-1
5.545249130E-1,2.117947102E0,9.363713264E0,3.442673683E-1
5.644119960E-1,2.285444736E0,9.638887405E0,5.237290859E-1
5.742990790E-1,2.460120678E0,9.646066666E0,6.625127792E-1
5.841862150E-1,2.592025042E0,9.502496719E0,5.285146832E-1
5.940732980E-1,2.493620396E0,9.411569595E0,5.333003402E-1
6.039603820E-1,2.062912226E0,9.296713829E0,8.303094506E-1
6.138475170E-1,1.725225091E0,9.279664993E0,9.523434043E-1
6.237346000E-1,1.706082582E0,9.466604233E0,9.619147182E-1
6.336216840E-1,1.782652855E0,9.619745255E0,9.499505758E-1
6.435087670E-1,1.672582984E0,9.648459435E0,1.143769264E0
6.533959020E-1,1.382752419E0,9.591031075E0,1.419242978E0
6.632829860E-1,1.105184913E0,9.703494072E0,1.732702732E0
6.731700690E-1,9.089735150E-1,9.801599503E0,1.931606054E0
6.830571520E-1,9.257232547E-1,9.713065147E0,1.883450508E0
6.929442880E-1,1.222433209E0,9.605388641E0,1.785344839E0
7.028313710E-1,1.619940877E0,9.734601021E0,1.428814173E0
7.127184540E-1,1.792224169E0,1.003160954E1,1.069591761E0
7.226055380E-1,1.986341953E0,1.030917740E1,9.188438654E-1
7.324926730E-1,1.050150037E0,1.078564835E1,7.055835724E-1
7.423797570E-1,1.857428551E-1,1.119751263E1,1.024128079E0
7.522668400E-1,-8.581260443E-1,1.107787132E1,1.438385487E0
7.621539230E-1,-9.370891452E-1,1.075693417E1,2.228316069E0
7.720410590E-1,-4.438686073E-1,1.029242706E1,2.805285454E0
7.819281420E-1,5.904290080E-1,9.888040543E0,2.702394009E0
7.918152250E-1,1.610369682E0,9.550353050E0,2.912962437E0
8.017023610E-1,2.292623281E0,9.423533440E0,3.078366280E0
8.115894440E-1,2.670988321E0,9.437891006E0,3.233899832E0
8.214765270E-1,2.919841766E0,9.629316330E0,3.253042459E0
8.313636110E-1,2.759522676E0,9.909575462E0,3.343969584E0
8.412507460E-1,2.512762785E0,1.026132107E1,2.953640461E0
8.511378290E-1,2.388336182E0,1.054636574E1,2.479861498E0
8.610249130E-1,2.405085802E0,1.089093208E1,1.926820397E0
8.709120480E-1,2.335694075E0,1.115922737E1,1.479063511E0
8.807991320E-1,2.311765671E0,1.111137104E1,1.124626637E0
8.906862150E-1,2.484049082E0,1.065643597E1,7.007979155E-1
9.005733500E-1,2.984447956E0,9.957432747E0,2.365903407E-1
9.104604340E-1,3.343670607E0,9.301499367E0,-6.041877344E-2
9.203475170E-1,3.513561010E0,9.078668594E0,-2.398804724E-1
9.302346000E-1,3.185744286E0,9.071489334E0,-7.331010103E-1
9.401217360E-1,2.781058073E0,9.200701714E0,-5.105685592E-1
9.500088190E-1,2.412264347E0,9.332606316E0,-2.213360928E-2
9.598959020E-1,2.216052771E0,9.270093918E0,-1.226321608E-1
9.697830380E-1,2.338086843E0,9.011669159E0,-5.802594870E-2
9.796701210E-1,2.424228430E0,8.734101295E0,2.796611488E-1
9.895572040E-1,2.486441851E0,8.291130066E0,4.486542568E-2
9.994443400E-1,3.116352320E0,7.898408413E0,-7.043871880E-1
