Time (s),Gyroscope x (deg/s),Gyroscope y (deg/s),Gyroscope z (deg/s)
4.778314200E-2,1.450762302E-1,-8.567132801E-2,1.890572309E-1
5.767022500E-2,1.450762302E-1,-8.567132801E-2,1.890572309E-1
6.755730900E-2,1.212531775E-1,-8.200624585E-2,6.505523622E-2
7.744439200E-2,1.310267299E-1,-6.245913357E-2,6.994201243E-2
8.733147500E-2,1.194206402E-1,-2.336490713E-2,8.704573661E-2
9.721855900E-2,1.365243644E-1,-3.436015919E-2,1.035386100E-1
1.071056940E-1,1.401894391E-1,-3.497100621E-2,1.133121699E-1
1.169927770E-1,1.243074164E-1,-2.764083818E-2,1.310267299E-1
1.268798610E-1,1.108687744E-1,-2.886253223E-2,1.554606259E-1
1.367669440E-1,1.169772521E-1,-5.268557742E-2,1.640124917E-1
1.466540270E-1,1.316375881E-1,-1.094943732E-1,1.371352077E-1
1.565411630E-1,1.236965731E-1,-1.589729935E-1,7.055285573E-2
1.664282460E-1,8.765657991E-2,-1.540862173E-1,1.435491070E-2
1.763153290E-1,7.666133344E-2,-1.840177327E-1,8.246437646E-3
1.862024130E-1,9.315420687E-2,-2.157817930E-1,4.672981426E-2
1.960894960E-1,1.151447073E-1,-2.231119573E-1,7.727217674E-2
2.059766320E-1,1.206423342E-1,-2.053973973E-1,8.460234851E-2
2.158637150E-1,1.139230132E-1,-1.974563748E-1,8.521319181E-2
2.257507980E-1,9.926267713E-2,-2.072299272E-1,9.315420687E-2
2.356378820E-1,8.582404256E-2,-2.102841735E-1,9.254335612E-2
2.455249650E-1,7.849387079E-2,-2.041756958E-1,7.299624383E-2
2.554120480E-1,9.498675168E-2,-2.145601064E-1,2.657185495E-2
2.652991840E-1,1.053711548E-1,-1.681357026E-1,-2.840439789E-2
2.751862670E-1,1.065928489E-1,-1.241547018E-1,-4.306473210E-2
2.850733500E-1,1.133121699E-1,-1.327065676E-1,-2.718270384E-2
2.949604340E-1,1.163664013E-1,-1.247655526E-1,-1.740914769E-2
3.048475170E-1,1.230857223E-1,-1.516428292E-1,-2.168507688E-2
3.147346000E-1,1.346918195E-1,-2.298312783E-1,-5.344913527E-2
3.246217360E-1,1.359135211E-1,-3.067980409E-1,-1.004843712E-1
3.345088190E-1,1.255291104E-1,-4.020902216E-1,-1.414111406E-1
3.443959020E-1,1.096470803E-1,-4.515688419E-1,-1.737860441E-1
3.542830380E-1,8.399149776E-2,-4.515688419E-1,-1.792836636E-1
3.641701210E-1,5.222744122E-2,-4.845545888E-1,-1.322484314E-1
3.740572040E-1,2.962609194E-2,-5.083776116E-1,-7.543963939E-2
3.839442880E-1,1.863084175E-2,-4.753918648E-1,-5.528167635E-2
3.938313710E-1,2.412846684E-2,-4.020902216E-1,-6.077930331E-2
4.037185070E-1,2.779355086E-2,-3.165715933E-1,-7.727217674E-2
4.136055900E-1,2.901524492E-2,-2.304421216E-1,-9.193251282E-2
4.234926730E-1,4.795150831E-2,-1.675248593E-1,-9.376505762E-2
