"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.744439200E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.733147500E-2,-4.723501205E-2,1.068401337E-1,-7.204365730E-2
9.721855900E-2,-1.307423115E-1,5.584716797E-2,2.003850937E-1
1.071056940E-1,-1.583735943E-1,-9.031963348E-2,3.321278095E-2
1.169927770E-1,-1.539342403E-1,-1.361808777E-1,-1.149971485E-1
1.268798610E-1,-1.285643578E-1,-1.455039978E-1,-8.927345276E-3
1.367669440E-1,2.815461159E-2,-2.088518143E-1,-1.377546787E-2
1.466540270E-1,2.679913044E-1,-2.441806793E-1,-6.623506546E-2
1.565411630E-1,5.328989029E-1,-1.211357117E-1,-1.900819540E-1
1.664282460E-1,3.797681332E-1,2.392482758E-2,-2.961238027E-1
1.763153290E-1,4.005169868E-2,5.811595917E-2,-8.660352230E-2
1.862024130E-1,-2.789270878E-1,-3.659152985E-2,8.713293076E-2
1.960894960E-1,-1.669013500E-1,-3.096294403E-2,1.020338535E-1
2.059766320E-1,3.131008148E-2,5.423069000E-2,-2.354633808E-2
2.158637150E-1,1.249172688E-1,8.498096466E-2,-5.893373489E-2
2.257507980E-1,2.619147301E-2,-8.069992065E-2,-1.045682430E-1
2.356378820E-1,5.286622047E-2,-1.962404251E-1,-7.688236237E-2
2.455249650E-1,1.162066460E-1,-1.300611496E-1,-8.116114140E-2
2.554120480E-1,1.079242229E-1,-3.277873993E-2,2.510130405E-2
2.652991840E-1,2.825546265E-2,6.944656372E-2,1.759016514E-1
2.751862670E-1,-3.171672821E-1,1.004800797E-1,2.300410271E-1
2.850733500E-1,-5.553710461E-1,3.240394592E-2,3.035936356E-1
2.949604340E-1,-2.996578217E-1,1.347446442E-1,3.082042933E-1
3.048475170E-1,-4.129385948E-2,2.696161270E-1,2.020285130E-1
3.147346000E-1,2.845304012E-1,2.331886292E-1,9.882140160E-2
3.246217360E-1,6.592471600E-1,3.162193298E-2,-8.567619324E-2
3.345088190E-1,8.532292843E-1,-1.910133362E-1,-2.988114357E-1
3.443959020E-1,1.025506020E0,-1.272840500E-1,-3.685969114E-1
3.542830380E-1,9.279594421E-1,1.422052383E-1,-3.415117264E-1
3.641701210E-1,3.953888416E-1,2.400445938E-1,-4.772700071E-1
3.740572040E-1,7.925939560E-2,1.072959900E-1,-2.236006856E-1
3.839442880E-1,1.752400398E-1,4.940986633E-3,-4.254031181E-2
3.938313710E-1,2.510545254E-1,-8.753013611E-2,9.211879969E-2
4.037185070E-1,1.969213486E-1,-1.359968185E-1,1.745324135E-1
4.136055900E-1,-1.629829407E-2,-3.241920471E-2,1.944515705E-1
4.234926730E-1,-3.463060856E-1,-2.112464905E-1,4.141744375E-1
4.333797570E-1,-3.893105984E-1,-2.714090347E-1,4.748154879E-1
4.432668400E-1,-2.562742233E-1,-1.044788361E-1,2.597759366E-1
4.531539750E-1,-2.875669003E-1,-3.126621246E-2,4.144428372E-1
4.630410590E-1,-2.384381294E-1,-1.081399918E-1,4.907200933E-1
4.729281420E-1,-2.213022709E-1,-1.390895844E-1,1.699726582E-1
4.828152250E-1,-6.215631962E-1,-1.395492554E-1,2.240310311E-1
4.927023610E-1,-1.153022647E0,-3.179836273E-2,6.617462635E-2
5.025894440E-1,-1.136326432E0,1.815652847E-1,3.210269809E-1
5.124765270E-1,-8.834985495E-1,2.164335251E-1,-1.083941460E-1
5.223636110E-1,-5.926674604E-1,5.170631409E-2,1.022696495E-3
5.322507460E-1,-3.651392460E-1,-8.716297150E-2,-2.083014846E-1
5.421378290E-1,-3.210983276E-1,-1.137580872E-1,-4.061351717E-1
5.520249130E-1,-3.754932880E-1,-9.275436401E-2,-4.369542301E-1
5.619119960E-1,-4.169175625E-1,1.091842651E-1,-4.599300921E-1
5.717990790E-1,-2.568869591E-1,3.806905746E-1,-2.784081101E-1
5.816862150E-1,-9.740853310E-2,3.851203918E-1,-1.375175118E-1
5.915732980E-1,1.306080818E-2,2.427721024E-1,-2.681935430E-1
6.014603820E-1,-1.076388359E-1,1.562900543E-1,-2.649136782E-1
6.113475170E-1,-5.575757027E-1,4.949569702E-2,2.291941643E-2
6.212346000E-1,-9.116353989E-1,4.204654694E-2,1.352593303E-1
6.311216840E-1,-9.465881586E-1,2.347812653E-1,1.335969567E-1
6.410087670E-1,-8.823840618E-1,3.905267715E-1,1.052460670E-1
6.508959020E-1,-9.967178106E-1,4.200420380E-1,2.747430801E-1
6.607829860E-1,-1.281862855E0,3.635559082E-1,5.187976956E-1
6.706700690E-1,-1.551601171E0,4.758043289E-1,7.942166924E-1
6.805571520E-1,-1.742534161E0,5.740385056E-1,9.504147768E-1
6.904442880E-1,-1.727783442E0,4.891433716E-1,8.613938093E-1
7.003313710E-1,-1.442324996E0,3.882150650E-1,7.247784138E-1
7.102184540E-1,-1.063329577E0,5.225009918E-1,3.373469114E-1
7.201055380E-1,-9.090898037E-1,8.187446594E-1,-4.245698452E-2
7.299926730E-1,-7.285265923E-1,1.088460922E0,-2.009773850E-1
7.398797570E-1,-1.655590534E0,1.547933578E0,-4.202298522E-1
7.497668400E-1,-2.496646166E0,1.937438965E0,-1.183601618E-1
7.596539230E-1,-3.508278608E0,1.799268723E0,2.742578983E-1
7.695410590E-1,-3.560446501E0,1.465870857E0,1.037942290E0
7.794281420E-1,-3.051733255E0,9.957838058E-1,1.587910652E0
7.893152250E-1,-2.017639637E0,5.909824371E-1,1.464177132E0
7.992023610E-1,-1.011942148E0,2.572393417E-1,1.656417489E0
8.090894440E-1,-3.541202545E-1,1.352367401E-1,1.809044242E0
8.189765270E-1,-7.316112518E-3,1.536684036E-1,1.960187793E0
8.288636110E-1,2.067775726E-1,3.458719254E-1,1.983577132E0
8.387507460E-1,1.483225822E-2,6.223173141E-1,2.083073139E0
8.486378290E-1,-2.574098110E-1,9.654731750E-1,1.708325744E0
8.585249130E-1,-4.005203247E-1,1.236670494E0,1.257315993E0
8.684120480E-1,-3.928000927E-1,1.561087608E0,7.338798046E-1
8.782991320E-1,-4.582190514E-1,1.802958488E0,3.180184364E-1
8.881862150E-1,-4.657409191E-1,1.726917267E0,-4.373431206E-3
8.980733500E-1,-2.678377628E-1,1.246954918E0,-3.939834833E-1
9.079604340E-1,2.611396313E-1,5.286941528E-1,-8.166725039E-1
9.178475170E-1,6.506056786E-1,-1.407070160E-1,-1.062879443E0
